,color,specific_color,Cantidad,Tipo_color
0,Beige,Beige,176,Basico
1,Black,Black,978,Blanco y negro
2,Blue,Blue_dark,814,Basico
3,Blue,Blue,159,Basico
4,Blue,Blue_light,152,Basico
5,Blue,Blue_klein,49,Basico
6,Blue,Blue_turquoise,30,Basico
7,Blue,Blue_petrol,23,Basico
8,Blue,Grey_blue,8,Basico
9,Blue,Indigo,5,Basico
10,Blue,Baby_blue,3,Basico
11,Brown,Khaki,241,Basico
12,Brown,Ecru,222,Basico
13,Brown,Brown,117,Basico
14,Brown,Camel,66,Basico
15,Brown,Brown_light,44,Basico
16,Brown,Taupe,41,Basico
17,Brown,Nude,32,Basico
18,Brown,Brick,19,Basico
19,Brown,Ochre,15,Basico
20,Brown,Sand,8,Basico
21,Gray,Gray_light,91,Basico
22,Gray,Grey_dark,87,Basico
23,Gray,Grey,71,Basico
24,Gray,Silver,4,Basico
25,Green,Green_dark,194,Llamativo
26,Green,Green,116,Llamativo
27,Green,Green_light,52,Llamativo
28,Green,Mint,9,Llamativo
29,Green,Jade,7,Llamativo
30,Green,Pistachio,3,Llamativo
31,Orange,Rust,198,Llamativo
32,Orange,Orange,65,Llamativo
33,Orange,Coral,49,Llamativo
34,Orange,Salmon,35,Llamativo
35,Orange,Mandarine,3,Llamativo
36,Pink,Pink,164,Llamativo
37,Pink,Fuchsia,14,Llamativo
38,Pink,Strawberry,5,Llamativo
39,Pink,Pale_pink,2,Llamativo
40,Purple,Aubergine,43,Llamativo
41,Purple,Purple,12,Llamativo
42,Purple,Lilac,11,Llamativo
43,Red,Red,129,Llamativo
44,Red,Garnet,120,Llamativo
45,Red,Crimson,43,Llamativo
46,Red,Wine,2,Llamativo
47,White,White,95,Blanco y negro
48,Yellow,Mustand,187,Llamativo
49,Yellow,Yellow,84,Llamativo
50,Yellow,Gold,10,Llamativo
51,Yellow,Lemon,9,Llamativo
52,Yellow,Yellow_light,7,Llamativo
