,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
19,19,Addi Playsuit flowers,mustand,Jumpsuit,jumpsuit,yellow,MAINSTREAM,0.6,611.6,101.2,0.1683921341816078,0.0052022285544167,0.1020040227552645,7,disponible,MAINSTREAM,adventurous,true,4fec6936-1e4a-4436-b0f8-5bd170361d9d,Nivel 1
23,23,Ademia Top ward,garnet,Top,top,red,OWN_PRODUCTION,0.4,1464.4,426.8,0.2986925897457227,0.0124560881214647,0.1555743389335937,7,proximamente,OWN_PRODUCTION,print,false,836ae376-e714-4f55-96fd-d90487d91c30,Nivel 2
24,24,Adette Shirt broadway ,mustand,Shirt,shirt,yellow,MAINSTREAM,0.2,941.2,308.0,0.3350796810344249,0.0080057840343639,0.1715427325343944,9,proximamente,MAINSTREAM,alerts,false,a03d2b4e-f7cf-4b5d-8aa8-5527c252cc2a,Nivel 2
25,25,Adina Jeans button,blue_dark,Jean,jean,blue,MAINSTREAM,0.4,677.6,193.6,0.2938915579958819,0.0057636201250372,0.1664381165700642,7,proximamente,MAINSTREAM,detail,40,0f5a861d-7087-4790-bad0-a04acfe12e8a,Nivel 1
26,26,Adina Jeans button,orange,Jean,jean,orange,MAINSTREAM,0.6,659.8,180.4,0.2630586809667938,0.0056122145196274,0.1549651744776078,7,proximamente,MAINSTREAM,detail,40,1089c6bc-b017-4159-835c-1c407cf81c1a,Nivel 1
34,34,Agnes T-shirt off ,ecru,Tshirt,tshirt,brown,NO_MAINSTREAM,0.3333333333333333,297.0,117.33333333333331,0.4236772486772486,0.0025262620677922,0.2992625828737766,9,proximamente,NO_MAINSTREAM,adventurous,false,14dfb9bf-621f-4fab-9abd-bd608c848676,Nivel 2
45,45,Aida Pant camo,green_dark,Pant,pant,green,MAINSTREAM,0.8333333333333334,2235.833333333333,550.0,0.2725897205280096,0.0190178482825103,0.1608695314001525,8,disponible,MAINSTREAM,composition,false,05580bda-2b38-4db4-9194-b48b0511fbb3,Nivel 1
78,78,Alana Pant ancle ,blue_dark,Pant,pant,blue,NO_MAINSTREAM,0.5,621.5,181.5,0.3358108108108108,0.0052864372900097,0.2263775803724449,7,disponible,NO_MAINSTREAM,application,true,30d18689-0e3c-4f6e-8449-b38f571b98dc,Nivel 1
80,80,Alba Dress light,blue_light,Dress,dress,blue,WHOLE_SALE,0.3333333333333333,462.0,205.33333333333331,0.426497113997114,0.0039297409943435,0.2809658392821164,9,proximamente,WHOLE_SALE,application,false,0c88a60f-18b5-49a4-be98-895b64aa5b41,Nivel 1
85,85,Alejandra Shirt woven ,blue_light,Shirt,shirt,blue,MAINSTREAM,0.6666666666666666,542.6666666666666,139.33333333333334,0.2659034792368125,0.0046158862473241,0.1352596827420683,9,disponible,MAINSTREAM,detail,false,06f904c1-02de-449a-bc18-0012f7c2d695,Nivel 2
87,87,Alexa Cardigan soft ,black,Sweater,sweater,black,WHOLE_SALE,0.5,3848.5,1528.5,0.3940803252292997,0.0327350827201973,0.2134077039747485,8,disponible,WHOLE_SALE,composition,false,ca5794b3-887c-4820-a828-ec5004214fb1,Nivel 2
91,91,Alexa Jacket soya ,blue_dark,Jacket,jacket,blue,MAINSTREAM,3.0,605.0,176.0,0.2840200063765344,0.0051460893973546,0.166646368871513,8,disponible,MAINSTREAM,detail,false,0801cc1e-e496-4f6f-82c9-1296af2c341b,Nivel 3
92,92,Alexa Jeans milan ,gray_light,Jean,jean,gray,PREMIUM,1.8,875.2,325.6,0.3775823602066657,0.0074443924637434,0.2310803642586739,9,proximamente,PREMIUM,detail,false,311833aa-6f0c-4e63-b728-903f8416e3b5,Nivel 1
94,94,Alexa Jeans slim ,black,Jean,jean,black,PREMIUM,8.4,501.6,176.0,0.2910403322168028,0.0042665759367158,0.1582273918983899,8,proximamente,PREMIUM,composition,false,1954a311-e35a-4b1c-9587-8791fbc9543c,Nivel 1
95,95,Alexa Jeans slim ,blue_petrol,Jean,jean,blue,PREMIUM,4.2,528.0,242.0,0.4487619047619048,0.004491132564964,0.2923959511759452,8,proximamente,PREMIUM,composition,false,0ad48dd9-a4c5-454a-ba62-8e4fd93e9349,Nivel 1
96,96,Alexa Jeans slim ,brown,Jean,jean,brown,PREMIUM,8.8,444.4,184.8,0.3359848484848485,0.0037800365755114,0.2113151960424213,8,proximamente,PREMIUM,composition,false,58586013-d759-4186-8eaa-1485e08d2536,Nivel 1
97,97,Alexa Jeans slim ,crimson,Jean,jean,red,PREMIUM,4.2,624.8,206.8,0.3821578421578421,0.0053145068685408,0.2425779499849163,7,disponible,PREMIUM,composition,false,32d97514-b0da-4361-af7f-1509569e71fc,Nivel 1
99,99,Alexa Jeans slim ,green_light,Jean,jean,green,PREMIUM,2.4,664.2,222.2,0.3767441096380159,0.0056496406243354,0.2322468866808983,7,proximamente,PREMIUM,composition,false,0aa3e12d-45fb-41f7-bf4b-ba61d1f6eaad,Nivel 1
100,100,Alexa Jeans slim ,mustand,Jean,jean,yellow,PREMIUM,11.9,332.2,125.4,0.3394240537559503,0.0028256709054565,0.216766386877408,8,disponible,PREMIUM,composition,false,16269e73-d5d2-4365-a374-51c1174d7f41,Nivel 1
102,102,Alexa Jeans slim ,red,Jean,jean,red,PREMIUM,7.6,343.2,149.6,0.6069565217391305,0.0029192361672266,0.4197039657987533,8,proximamente,PREMIUM,composition,false,5d54aa78-3c60-4acb-805d-2e75332a7472,Nivel 1
103,103,Alexa Jeans slim ,yellow,Jean,jean,yellow,PREMIUM,1.0,294.8,101.2,0.2590802987861811,0.0025075490154382,0.1776081744099843,7,proximamente,PREMIUM,composition,false,2b445f46-5a95-4a73-898f-a71733b60d48,Nivel 1
113,113,Alice Top floral ,mandarine,Top,top,orange,NO_MAINSTREAM,0.25,874.5,396.0,0.4652341020265548,0.0074384383107217,0.2363362701686382,9,proximamente,NO_MAINSTREAM,detail,53,489f472e-8a0c-44f3-ba59-dcb2b159e0a8,Nivel 2
