,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
4131,35614f95-edc6-44a3-9923-b624c561b879,Socobella Jacket blazer ,Jacket,nivel_3,black,black,Mainstream,8,proximamente,False,formal,False,unknown,invierno,False,blazer,jacket,0.0,1741.0,586.6666666666666,0.3589532551496349,0.0148088291583379,0.1868810421539864,Mainstream,composition,true
4143,0dd11a04-58a3-4a6f-a8e7-6d2617d42fb2,Soconessi Sweater acrylic ,Sweater,nivel_2,pink,pink,Mainstream,8,disponible,False,both,False,unknown,invierno,False,acrylic,sweater,2.4,1332.8,457.6,0.3459730246466663,0.0113367073533789,0.1786548660000227,Mainstream,composition,52
4144,50a13295-0b07-44e7-9f86-9f64fbe00d3a,Soconessi Sweater acrylic ,Sweater,nivel_2,rust,orange,Mainstream,8,disponible,False,both,False,unknown,invierno,True,acrylic,sweater,6.8,334.4,105.6,0.2816666666666666,0.0028443839578105,0.1996856526177008,Mainstream,composition,52
4145,1d751c72-35db-4602-b7b9-b7f1f625a6eb,Socopylle T-shirt cott,Tshirt,nivel_2,blue_dark,blue,Mainstream,8,disponible,True,both,False,unknown,invierno,True,cott,tshirt,14.2,391.6,220.0,0.4903846153846154,0.003330923319015,0.3089729563133106,Mainstream,composition,43
4124,52b47a49-6b51-4523-a95b-a9bd0ebe4c7d,Sloane Shirt print,Shirt,nivel_2,white,white,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,print,shirt,0.0,550.0,278.6666666666667,0.4892213366907472,0.0046782630885042,0.2814926886934552,Mainstream,adventurous,3_4
4123,3b36a653-8e01-4b57-859e-d30c753dd10c,Sloane Shirt print,Shirt,nivel_2,aubergine,purple,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,print,shirt,0.0,693.0,271.3333333333333,0.3857042924144411,0.0058946114915153,0.2251184132131794,Mainstream,adventurous,3_4
4072,1135f4be-941a-426e-866d-064b6326dcde,Short Dress sleeveless ,Dress,nivel_1,blue_dark,blue,Mainstream,8,proximamente,True,both,False,unknown,invierno,True,sleeveless,dress,0.0,275.0,135.66666666666666,0.5797258297258298,0.0023391315442521,0.4166112975542866,Mainstream,detail,false
4103,70c2adcd-12bb-46f9-b72b-54406d0f248e,Single Coat breasted,Jacket,nivel_3,khaki,brown,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,breasted,jacket,0.0,205.33333333333331,91.66666666666669,0.3897739651416121,0.0017465515530415,0.2927671117444695,Mainstream,composition,true
4146,28e8de3c-dc77-4d19-a3d3-b39fecba84c5,Socopylle T-shirt cott,Tshirt,nivel_2,garnet,red,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,cott,tshirt,2.0,1258.0,470.8,0.3780475921295052,0.0107004635733424,0.232501186822584,Mainstream,composition,43
4147,49fa3b38-4a29-48f7-8848-c128e74f4116,Socopylle T-shirt cott,Tshirt,nivel_2,pink,pink,Mainstream,8,disponible,False,both,False,unknown,invierno,True,cott,tshirt,1.5,1160.0,423.5,0.3833292933752844,0.0098668821502998,0.2259811334239828,Mainstream,composition,43
4142,51a72863-d4f9-44e0-a5cd-afbbefb99f70,Soconessi Sweater acrylic ,Sweater,nivel_2,grey,gray,Mainstream,8,disponible,False,both,False,unknown,invierno,False,acrylic,sweater,8.2,862.0,272.8,0.2958671916729868,0.0073321141496193,0.1826370413936156,Mainstream,composition,52
4235,53cdee43-abec-46bd-bade-90d4d0605f66,Stsakko Cardigan basic ,Sweater,nivel_2,blue_light,blue,Mainstream,8,proximamente,True,both,False,unknown,invierno,True,basic,sweater,0.0,2233.714285714286,980.2857142857144,0.4454448922760028,0.0189998238056758,0.2322223580408393,Mainstream,application,false
4241,5ad65960-ae5b-410a-983b-5baabf41a94a,Sua Shirt origin,Shirt,nivel_2,black,black,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,origin,shirt,0.0,447.3333333333333,205.33333333333331,0.4832995267072346,0.0038049873119834,0.3322689285546784,Mainstream,application,64
4242,0358bb62-9ee6-4414-9c3a-e857ad05a812,Sua Shirt origin,Shirt,nivel_2,rust,orange,Mainstream,8,proximamente,False,both,False,unknown,invierno,True,origin,shirt,0.0,476.6666666666667,264.0,0.5837514679192911,0.0040544946767036,0.40479669808651,Mainstream,application,64
