,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
1237,57a23a08-1b44-4f49-9ac5-da3bf15e2828,Dou Jeans onesize ,jean,nivel_1,orange,orange,Mainstream,7,disponible,False,both,False,unknown,invierno,True,onesize,jean,171.0,10094.0,3826.0,0.3790370517138894,0.0858588865733849,0.2324479691436372,MAINSTREAM,alerts,false
1235,e8010e47-8f5f-42af-9d3f-a2097c12863c,Dou Jeans onesize ,jean,nivel_1,mustand,yellow,Mainstream,7,proximamente,False,both,False,unknown,invierno,True,onesize,jean,0.0,22365.0,9940.0,0.4444444444444444,0.1902351890443584,0.3173398167444014,MAINSTREAM,alerts,false
1453,03515f1a-d191-4f16-bfbf-fa886ffa4047,Femme Sweater mohair ,sweater,nivel_2,nude,brown,No mainstream,7,proximamente,False,both,False,unknown,invierno,False,mohair,sweater,0.0,667.3333333333334,242.0,0.3587218045112781,0.0056762925473851,0.1821990485293316,NO_MAINSTREAM,composition,false
1452,3ab34b9f-ca02-48eb-93b2-0f32edf0781d,Femme Sweater mohair ,sweater,nivel_2,mustand,yellow,No mainstream,7,proximamente,False,both,False,unknown,invierno,False,mohair,sweater,0.0,865.3333333333334,271.3333333333333,0.3136636636636636,0.0073604672592466,0.1605120654614551,NO_MAINSTREAM,composition,false
3714,0e1052c0-7391-4839-b060-499715408d7a,Rebecca Jeans denim ,jean,nivel_1,taupe,brown,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,jean,0.0,2639.2,1091.0,0.4109635691031316,0.0224488580785097,0.2167062135908206,WHOLE_SALE,composition,false
1233,ce8e43b2-e6d1-4670-9d33-b6ffde8b33bd,Dou Jeans onesize ,jean,nivel_1,green_light,green,Mainstream,7,proximamente,False,both,False,unknown,invierno,True,onesize,jean,0.0,28039.0,10182.0,0.3631370590962587,0.2384978522519457,0.3008174556741022,MAINSTREAM,alerts,false
1230,00e05a39-c081-41ce-8d56-b3da41c22d3d,Dou Jeans onesize ,jean,nivel_1,crimson,red,Mainstream,7,disponible,False,both,False,unknown,invierno,True,onesize,jean,137.0,6663.0,2617.0,0.3927660213117214,0.0566750308340067,0.224720526072864,MAINSTREAM,alerts,false
1224,c2eef4df-7f93-4363-97c4-9f439d993636,Dou Jeans onesize ,jean,nivel_1,blue_klein,blue,Mainstream,7,disponible,False,both,False,unknown,invierno,True,onesize,jean,1.0,25466.0,11787.0,0.4628524306919029,0.2166120869306341,0.3397322588112685,MAINSTREAM,alerts,false
3713,10b6b27a-4a40-4ef5-8753-5bd5ec668a86,Rebecca Jeans denim ,jean,nivel_1,rust,orange,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,jean,0.0,2687.4,1156.8,0.5053177251677254,0.0228588440437204,0.2806567077475311,WHOLE_SALE,composition,false
3712,08f30527-fee8-486d-b91c-eb1a9aca44a7,Rebecca Jeans denim ,jean,nivel_1,red,red,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,jean,0.0,1279.8,580.8,0.4601085510670269,0.0108858929103049,0.2354972219886659,WHOLE_SALE,composition,false
3711,117125a2-87d9-4252-a88b-36597833b5f5,Rebecca Jeans denim ,jean,nivel_1,pink,pink,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,jean,0.0,5308.8,2304.8,0.4380196306236426,0.0451562965168204,0.2415879635702315,WHOLE_SALE,composition,false
1999,1212f1da-8312-4283-b25c-b9cc17c84982,Itta Pant denim ,pant,nivel_1,taupe,brown,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,pant,0.0,413.6,149.6,0.3925897631779985,0.0035180538425551,0.2633389152570281,WHOLE_SALE,adventurous,38
1997,12d79a5a-cb3c-4de9-9ba4-29246bfda085,Itta Pant denim ,pant,nivel_1,red,red,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,pant,0.2,3087.6,1332.6,0.4278646883852023,0.0262629183855739,0.245307082019604,WHOLE_SALE,adventurous,38
1996,1242b864-6334-436a-890e-c6d7b89a467e,Itta Pant denim ,pant,nivel_1,nude,brown,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,pant,0.0,3887.0,1610.75,0.4120885301958557,0.0330625611363926,0.2225755456661241,WHOLE_SALE,adventurous,38
1995,4251e513-b272-4123-b22d-cd01e9b12976,Itta Pant denim ,pant,nivel_1,khaki,brown,Whole sale,7,proximamente,False,both,False,unknown,invierno,True,denim,pant,0.0,2735.8,1424.8,0.4756649507022958,0.0232705311955088,0.2636879595513776,WHOLE_SALE,adventurous,38
