,season,type2,ventas
0,7,Bag,84833.0
12,7,Tshirt,58595.409523809525
11,7,Top,75626.92976190476
10,7,Sweater,192647.7238095238
8,7,Short,15961.419047619047
7,7,Shirt,67292.00634920635
9,7,Skirt,60118.27142857143
5,7,Jumpsuit,28233.414285714287
4,7,Jean,157486.6328240387
3,7,Jacket,59395.205555555556
2,7,Foulard,131939.0
1,7,Dress,56262.92619047619
6,7,Pant,185702.80952380953
20,8,Shirt,75290.89181929182
24,8,Tshirt,53353.39523809524
23,8,Top,58015.81243756244
22,8,Sweater,162623.49509803922
21,8,Skirt,67602.8462121212
19,8,Pant,54096.02142857143
18,8,Jumpsuit,5081.266666666666
17,8,Jean,195439.64411976913
16,8,Jacket,92830.22802197802
15,8,Foulard,202699.0
14,8,Dress,44221.02857142857
13,8,Bag,55850.0
35,9,Sweater,101811.67056277057
34,9,Skirt,47211.22857142857
33,9,Short,22766.733333333334
32,9,Shirt,57784.91071428572
31,9,Pant,55201.56349206349
28,9,Jacket,78098.09271255061
29,9,Jean,62777.642063492065
36,9,Top,76253.15714285715
27,9,Foulard,88177.0
26,9,Dress,30376.707142857143
25,9,Bag,84902.0
30,9,Jumpsuit,15291.15238095238
37,9,Tshirt,65251.45476190476
